일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/08/06","72500","1100","1.54","74900","75300","72300","47295226","3482608290900","432809234875000","5969782550"
"2024/08/05","71400","-8200","-10.30","76700","76900","70200","54608790","4028468177890","426242474070000","5969782550"
"2024/08/02","79600","-3500","-4.21","81000","81400","79500","25800275","2072583435468","475194690980000","5969782550"
"2024/08/01","83100","-800","-0.95","86000","86100","83100","20900338","1761066086600","496088929905000","5969782550"
"2024/07/31","83900","2900","3.58","81200","83900","80900","20744323","1709905651240","500864755945000","5969782550"
"2024/07/30","81000","-200","-0.25","80400","81000","80000","13169636","1058509976884","483552386550000","5969782550"
"2024/07/29","81200","300","0.37","81600","82000","81100","12797136","1042595012848","484746343060000","5969782550"
"2024/07/26","80900","500","0.62","80700","81300","80400","14508334","1171301827600","482955408295000","5969782550"
"2024/07/25","80400","-1600","-1.95","80400","81000","80100","20323811","1634938043600","479970517020000","5969782550"
"2024/07/24","82000","-1900","-2.26","82900","83300","81900","16939083","1397137102450","489522169100000","5969782550"
"2024/07/23","83900","900","1.08","84200","84700","83400","15766389","1325673625798","500864755945000","5969782550"
"2024/07/22","83000","-1400","-1.66","84400","84900","82600","18987560","1581559180516","495491951650000","5969782550"
"2024/07/19","84400","-2500","-2.88","85600","86100","84100","18569122","1574018492068","503849647220000","5969782550"
"2024/07/18","86900","200","0.23","83800","86900","83800","24721790","2104104629510","518774103595000","5969782550"
"2024/07/17","86700","-1000","-1.14","87100","88000","86400","18186490","1585140028938","517580147085000","5969782550"
"2024/07/16","87700","1000","1.15","86900","88000","86700","16166688","1413744130426","523549929635000","5969782550"
"2024/07/15","86700","2300","2.73","84700","87300","84100","25193080","2151182147147","517580147085000","5969782550"
"2024/07/12","84400","-3200","-3.65","85900","86100","84100","26344386","2234914589643","503849647220000","5969782550"
"2024/07/11","87600","-200","-0.23","88500","88800","86700","24677608","2164539095066","522952951380000","5969782550"
"2024/07/10","87800","0","0.00","87600","88000","87100","17813847","1560911761680","524146907890000","5969782550"
"2024/07/09","87800","400","0.46","87800","88200","86900","21336201","1869414925283","524146907890000","5969782550"
"2024/07/08","87400","300","0.34","87900","88600","86900","24035809","2105162327800","521758994870000","5969782550"
"2024/07/05","87100","2500","2.96","85600","87100","85200","45791193","3951280237696","519968060105000","5969782550"
